ID,Name,Year,Runtime,Genre,Language,IMDBScore,Comment,Link,TMDBkey
82,Identity,2003,90,"Mystery, Thriller",English,7.3,"A surprising psychological lock-in thriller set in a motel. For the John Cusack fans out there, this film has lots of shots of John Cusack brooding, being grumpy or looking exasperated. The dream",,
83,Glengarry Glen Ross,1992,100,"Crime, Drama, Mystery",English,7.7,"""A man is his job"". A film about capitalism and masculinity told through four smarmy property salesmen competing against each other. This cracker just creeps in at 100 minutes and has fantastic dialogue. It feels like a play, probably because originally it was!",,
84,Wag The Dog,1997,97,"Dark Comedy, Satire, Comedy, Drama",English,7.1,Political comedy about the lengths that these bloody politicians(!) will go to to manipulate the masses,,
85,Moon,2009,97,"Psychological Drama, Space Sci-Fi, Drama, Mystery, Sci-Fi",English,7.8,Comment coming soon!,,
86,Batman: Mask of the Phantasm,1993,76,"Animation, Action, Adventure",English,7.8,90s Batman animation with all the associated dark visuals and themes,,
87,Dogtooth,2009,93,"Psychological Drama, Drama, Thriller",Greek,7.2,"Unnerving, creepy Greek film about an abusive father, his wife and their children. Great acting performances, but definitely not a chill watch",,
88,Mike Bassett: England Manager,2001,89,"Comedy, Sport",English,6.8,England are playing four-four-fucking-two. An English sports comedy about a hapless manager put in charge of the men's national team. Some good laughs with a great performance from Ricky Tomlinson. This is unlikely to appeal to everyone but a must-watch for fans of sport/comedy/sport comedy,https://www.imdb.com/title/tt0282744/,
89,The Limey,1999,89,"Dark Comedy, Crime, Drama, Mystery, Thriller",English,6.9,"A revenge flick about an Englishman in LA with some novel editing, making regular use of montages. Story is like Taken meets Sexy Beast (both coincidentially Happy Hundies ;) ). If you can look past Terence Stamp having to explain cockney rhyming slang to Americans seemingly every 5 minutes then this is a good watch",,
90,Human Traffic,1999,99,"Comedy, Music",English,7.1,"""This could turn Hare Krishna into a badboy"". A fun, cool British film about coming of age and music and clubbing and love and stuff like that",,
91,One Hour Photo,2002,96,"Drama, Thriller",English,6.8,"Robin Williams shows off his dramatic acting chops in this tense thriller based around a photo printing shop. Comment from Happy Hundies Internal Steering Committee Affiliate/Housemate ""strange film, strange ending… in a good way. Mrs Doubtfire meets You. Dark and uncomfortable watch""",,
92,Frances Ha,2011,86,"Coming-of-Age, Quirky Comedy, Comedy, Drama, Romance",English,7.4,"Funny, awkward film about a dancer called Frances played by Greta Gerwig navigating life in her late 20s in New York. Some good satire about privileged pseudo-intellectuals in the Big City",,
93,Fantastic Planet,1973,72,"Animation, Sci-Fi",French,7.7,Comment coming soon!,,
94,Predestination,2014,97,"Time Travel, Action, Drama, Sci-Fi, Thriller",English,7.4,"An entertaining, slightly silly time travel tale featuring Ethan Hawke being as gruff as ever and Sarah Snook being versatile as hell - I'll tell you that much for free. Housemate judgement: ""you can't make a time travel film without making it a bit silly""",,
95,The Texas Chainsaw Massacre,1974,83,"Psychological Horror, Slasher Horror, Splatter Horror, Teen Horror, Horror",English,7.4,A brutal cult horror that just feels really raw and grim. Few horror films have made me feel this uncomfortable and somehow that's a good thing!,,
96,A Nightmare on Elm Street,1984,91,"Slasher Horror, Supernatural Horror, Teen Horror, Horror",English,7.4,One of our favourite classic horror films. Even if Freddie Krueger isn't even that good at the whole killing thing and did give us the ick.,,
97,A Cabin in the Woods,2011,95,"Monster Horror, Psychological Horror, Supernatural Horror, Horror, Mystery, Thriller",English,7,"This film asks a lot of questions of the audience, like: is this film good? Is it bad? What's up with Chris Hemsworth? Ultimately we don't care. This horror/comedy/horror comedy parody horror comedy is not for everyone but it is for us",,
98,Bottoms,2023,91,Comedy,English,7,A fun Queer parody of high school movies,,
99,Das Fest des Huhnes,1992,55,Comedy,German,7.3,"A hidden gem mockumentary that flips the script, with a Sub-Saharan African film crew conducting an ethnographic documentary into the seemingly alien culture of Austria and its people",https://www.imdb.com/title/tt0104255/,
100,Farha,2021,92,Drama,Arabic,8.1,A moving painful story about a Palestinian girl watching the horrific events of the 1948 Nakba unfold around her village,https://www.imdb.com/title/tt11555492/,
101,Shallow Grave,1994,89,"Dark Comedy, Crime, Drama, Thriller",English,7.3,Well-balanced Scottish thriller/black comedy. Featuring surreal elements that director Danny Boyle would later employ in the classic film Trainspotting,https://www.imdb.com/title/tt0111149/,
102,Sick of Myself,2022,97,"Dark Comedy, Psychological Drama, Drama, Horror",Norwegian,7.1,"You can't get enough of films satirising misanthropic, middle-class characters and their lives, can you? This time set in Oslo - a dark comedy with an excellent performance from Kristine Kujath Thorp",https://www.imdb.com/title/tt18816518/,
